"t_id","t_date","t_text"
"1119352637290315777","4/19/2019 21:30","b'RT @ScottFantasy: @jdawsey1 This is why nobody but the @DNC circle jerk takes this seriously anymore.  That front page is a disgrace but in\xe2\x80\xa6'"
"1119350750096785409","4/19/2019 21:23","b'The Washington Post and New York Times are, in my opinion, two of the most dishonest media outlets around. Truly, t\xe2\x80\xa6 https://t.co/wyogohR0yb'"
"1119348583143301120","4/19/2019 21:14","b'RT @JudicialWatch: JWPrez @TomFitton  Mueller Report Confirms Russia Hoax, NEW Deep State Lawsuit, John Kerry Colluding w/ Iran? https://t.\xe2\x80\xa6'"
"1119341792460247040","4/19/2019 20:47","b'....big, fat, waste of time, energy and money - $30,000,000 to be exact. It is now finally time to turn the tables\xe2\x80\xa6 https://t.co/YjYZAoNUFc'"
"1119211274712375297","4/19/2019 12:08","b'...agreed to testify, it was not necessary for me to respond to statements made in the \xe2\x80\x9cReport\xe2\x80\x9d about me, some of w\xe2\x80\xa6 https://t.co/MmsyKs6G2w'"
"1119207303700471809","4/19/2019 11:53","b'Statements are made about me by certain people in the Crazy Mueller Report, in itself written by 18 Angry Democrat\xe2\x80\xa6 https://t.co/8SSXuBchfu'"
"1119066791161077760","4/19/2019 2:34","b'Kimberley Strassel should get the Pulitzer. She is a treasure (and I don\xe2\x80\x99t know her) who correctly called the Russi\xe2\x80\xa6 https://t.co/gsfwqiX9og'"
"1119037461190066176","4/19/2019 0:38","b'\xe2\x80\x9cThe Mueller Report is perhaps the single most humiliating thing that has ever happened to the White House Press in\xe2\x80\xa6 https://t.co/SfynIGwhdB'"
"1119034770221088768","4/19/2019 0:27","b'\xe2\x80\x9cIf dozens of Federal prosecutors spent two years trying to charge you with a crime, and found they couldn\xe2\x80\x99t, it wo\xe2\x80\xa6 https://t.co/E0BPPwRcKC'"
"1119024554431713280","4/18/2019 23:46","b'When there is not an underlying crime with regard to Collusion (in fact, the whole thing was a made up fraud), it i\xe2\x80\xa6 https://t.co/uZEQGQLrXN'"
"1119019875203153921","4/18/2019 23:28","b'Anything the Russians did concerning the 2016 Election was done while Obama was President. He was told about it and\xe2\x80\xa6 https://t.co/adGILtxyRC'"
